#M. Wang et al., Chinese Physics C41, 030003, 2017
#  iz  ia   BE (keV)  error (keV)  in
  65 162  1322376.750    36.450 1  97
  65 163  1329368.125     4.075 1  98
  65 164  1334921.500   100.040 1  99
  65 166  1346870.875    70.052 1 101
  66 143  1154732.375    13.013 1  77
  66 144  1167204.750     7.200 1  78
  66 145  1176948.750     6.525 1  79
  66 146  1189332.375     6.716 1  80
  66 147  1199044.750     8.820 1  81
  66 148  1210779.500     8.732 1  82
  66 149  1218687.250     9.238 1  83
  66 150  1228372.375     4.350 1  84
  66 151  1235886.375     3.322 1  85
  66 152  1245323.250     4.560 1  86
  66 153  1252419.625     3.978 1  87
  66 154  1261741.875     7.392 1  88
  66 155  1268574.875     9.610 1  89
  66 156  1278019.500     1.248 1  90
  66 157  1284986.375     5.181 1  91
  66 158  1294040.500     2.370 1  92
  66 159  1300871.750     1.590 1  93
  66 160  1309448.625     0.800 1  94
  66 161  1315902.875     0.805 1  95
  66 162  1324100.000     0.810 1  96
  66 163  1330371.000     0.815 1  97
  66 164  1338029.125     0.820 1  98
  66 165  1343745.000     0.825 1  99
  66 166  1350788.500     0.830 1 100
  66 167  1356205.750    60.287 1 101
  66 168  1362906.125   139.944 1 102
  66 169  1368015.000   300.651 1 103
  67 144  1154462.000     8.496 1  77
  67 145  1167043.875     7.395 1  78
  67 146  1177233.375     6.570 1  79
  67 147  1189823.500     4.998 1  80
  67 148  1200128.875    83.768 1  81
  67 149  1211855.500    11.920 1  82
  67 150  1220226.250    14.100 1  83
  67 151  1229974.375     8.305 1  84
  67 152  1238027.625    12.464 1  85
  67 153  1247506.500     5.049 1  86
  67 154  1255204.875     8.162 1  87
  67 155  1264676.500    17.515 1  88
  67 156  1272187.125    60.060 1  89
  67 157  1281612.375    23.393 1  90
  67 158  1289038.500    27.176 1  91
  67 159  1298251.750     3.021 1  92
  67 160  1305376.375    15.040 1  93
  67 161  1314262.125     2.254 1  94
  67 162  1321177.750     3.240 1  95
  67 163  1329585.750     0.815 1  96
  67 164  1336260.375     1.476 1  97
  67 165  1344249.000     0.990 1  98
  67 166  1350492.875     0.996 1  99
  67 167  1357773.250     5.177 1 100
  67 168  1363625.250    30.072 1 101
  67 169  1370432.500    20.111 1 102
  67 170  1375945.250    49.980 1 103
  67 171  1382297.000   600.039 1 104
  68 146  1169534.750     6.716 1  78
  68 147  1179891.875    38.220 1  79
  68 148  1192834.375    10.212 1  80
  68 149  1203168.250    28.012 1  81
  68 150  1215329.250    17.250 1  82
  68 151  1223835.625    16.459 1  83
  68 152  1234141.125     8.816 1  84
  68 153  1242180.500     9.333 1  85
  68 154  1252388.375     4.928 1  86
  68 155  1260063.750     6.045 1  87
  68 156  1270137.625    24.648 1  88
  68 157  1277410.875    26.533 1  89
  68 158  1287372.250    25.280 1  90
  68 159  1294700.875     3.657 1  91
  68 160  1304275.375    24.320 1  92
  68 161  1311484.125     8.855 1  93
  68 162  1320688.250     0.810 1  94
  68 163  1327592.875     4.564 1  95
  68 164  1336439.250     0.820 1  96
  68 165  1343089.500     0.990 1  97
  68 166  1351565.250     1.162 1  98
  68 167  1358001.625     1.169 1  99
  68 168  1365773.000     1.176 1 100
  68 169  1371776.250     1.183 1 101
  68 170  1379033.000     1.530 1 102
  68 171  1384714.625     1.539 1 103
  68 172  1391550.500     3.956 1 104
  69 147  1168476.125     6.909 1  78
  69 148  1179338.000    10.212 1  79
  69 151  1215559.625    19.479 1  82
  69 152  1224578.625    53.960 1  83
  69 153  1234903.000    11.934 1  84
  69 154  1243428.000    14.476 1  85
  69 155  1253698.125     9.920 1  86
  69 156  1261978.125    14.352 1  87
  69 157  1271924.250    27.946 1  88
  69 158  1279989.500    25.280 1  89
  69 159  1289927.875    27.984 1  90
  69 160  1297730.875    34.240 1  91
  69 161  1307398.875    28.014 1  92
  69 162  1315049.250    26.082 1  93
  69 163  1324371.625     5.542 1  94
  69 164  1331618.125    24.436 1  95
  69 165  1340715.125     1.650 1  96
  69 166  1347745.000    11.620 1  97
  69 167  1356471.750     1.336 1  98
  69 168  1363312.250     1.680 1  99
  69 169  1371346.000     0.845 1 100
  69 170  1377937.875     0.850 1 101
  69 171  1385423.750     1.026 1 102
  69 172  1391659.000     5.504 1 103
  69 173  1398612.125     4.325 1 104
  69 174  1404291.750    44.718 1 105
  69 175  1410809.125    50.050 1 106
  69 176  1415941.250    99.968 1 107
  70 151  1205547.000   300.490 1  81
  70 152  1218346.250   149.720 1  82
  70 154  1238150.625    17.248 1  84
  70 155  1246792.625    16.585 1  85
  70 156  1257626.875     9.360 1  86
  70 157  1265854.375    10.990 1  87
  70 158  1276514.125     8.058 1  88
  70 159  1284413.750    17.808 1  89
  70 160  1294809.125     7.200 1  90
  70 161  1302557.125    15.295 1  91
  70 162  1312615.500    15.390 1  92
  70 163  1320159.500    15.322 1  93
  70 164  1329949.125    15.416 1  94
  70 165  1337298.375    26.565 1  95
  70 166  1346670.250     7.138 1  96
  70 167  1353736.250     4.008 1  97
  70 168  1362798.875     1.176 1  98
  70 169  1369666.000     1.183 1  99
  70 170  1378123.500     0.000 1 100
  70 171  1384737.750     0.000 1 101
  70 172  1392757.875     0.000 1 102
  70 173  1399124.875     0.000 1 103
  70 174  1406589.375     0.000 1 104
  70 175  1412411.875     0.000 1 105
  70 176  1419279.000     0.000 1 106
  70 177  1424845.250     0.177 1 107
  70 178  1431625.625     9.968 1 108
  71 153  1217737.625   150.093 1  82
  71 155  1238052.625    19.220 1  84
  71 156  1247278.375    54.132 1  85
  71 157  1258090.750    12.089 1  86
  71 158  1266933.750    15.168 1  87
  71 159  1277501.375    37.683 1  88
  71 160  1286134.000    56.800 1  89
  71 161  1296497.750    28.014 1  90
  71 162  1304838.625    75.006 1  91
  71 163  1314869.500    27.873 1  92
  71 164  1322791.875    27.880 1  93
  71 165  1332663.000    26.565 1  94
  71 166  1340313.000    29.880 1  95
  71 167  1349864.500    31.730 1  96
  71 168  1357502.500    39.312 1  97
  71 169  1366590.625     3.211 1  98
  71 170  1373883.500    16.830 1  99
  71 171  1382477.000     1.881 1 100
  71 172  1389455.875     2.408 1 101
  71 173  1397672.125     1.557 1 102
  71 174  1404432.875     1.566 1 103
  71 175  1412099.500     1.225 1 104
  71 176  1418387.500     1.232 1 105
  71 177  1425460.375     1.239 1 106
  71 178  1431485.625     2.314 1 107
  71 179  1438278.125     5.191 1 108
  71 180  1443966.875    70.740 1 109
  71 181  1450159.125   125.795 1 110
  71 183  1461220.625    80.154 1 112
  72 156  1240613.375   149.760 1  84
  72 158  1261041.625    17.538 1  86
  72 159  1269863.000    16.854 1  87
  72 160  1281020.750     9.600 1  88
  72 161  1289467.875    22.540 1  89
  72 162  1300393.500     8.910 1  90
  72 163  1308559.500    24.776 1  91
  72 164  1319185.500    15.744 1  92
  72 165  1327073.875    27.885 1  93
  72 166  1337368.750    27.888 1  94
  72 167  1345048.750    27.889 1  95
  72 168  1355013.000    27.888 1  96
  72 169  1362440.500    27.885 1  97
  72 170  1372048.750    27.880 1  98
  72 171  1379297.625    28.899 1  99
  72 172  1388339.875    24.424 1 100
  72 173  1395420.750    28.026 1 101
  72 174  1403924.750     2.262 1 102
  72 175  1410633.250     2.275 1 103
  72 176  1418799.125     1.408 1 104
  72 177  1425174.750     1.416 1 105
  72 178  1432800.625     1.424 1 106
  72 179  1438899.750     1.432 1 107
  72 180  1446287.375     1.440 1 108
  72 181  1451982.375     1.448 1 109
  72 182  1458700.375     6.188 1 110
  72 183  1464004.875    30.012 1 111
  72 184  1470292.875    39.744 1 112
  72 185  1475184.500    64.195 1 113
  72 186  1481360.125    51.150 1 114
  73 157  1239678.750   150.092 1  84
  73 159  1260667.250    19.716 1  86
  73 160  1270123.250    54.240 1  87
  73 161  1281149.750    24.311 1  88
  73 162  1290222.250    52.164 1  89
  73 163  1301048.125    38.142 1  90
  73 164  1309867.500    27.880 1  91
  73 165  1320504.000    13.860 1  92
  73 166  1328825.250    27.888 1  93
  73 167  1339149.750    27.889 1  94
  73 168  1347264.000    27.888 1  95
  73 169  1357231.750    27.885 1  96
  73 170  1365150.250    27.880 1  97
  73 171  1374804.250    27.873 1  98
  73 172  1382485.250    27.864 1  99
  73 173  1391623.125    28.026 1 100
  73 174  1399038.625    28.014 1 101
  73 175  1407777.875    28.000 1 102
  73 176  1414805.875    30.800 1 103
  73 177  1423226.375     3.363 1 104
  73 179  1438011.750     1.432 1 106
  73 180  1444658.500     1.980 1 107
  73 181  1452235.375     1.448 1 108
  73 182  1458298.250     1.456 1 109
  73 183  1465232.500     1.464 1 110
  73 184  1470850.375    25.944 1 111
  73 185  1477476.625    14.245 1 112
  73 186  1482761.250    60.078 1 113
  73 187  1489120.625    55.913 1 114
  73 188  1493908.250    54.896 1 115
  74 160  1262843.500   149.760 1  86
  74 162  1283659.000    17.658 1  88
  74 163  1292639.125    52.812 1  89
  74 164  1304038.125     9.676 1  90
  74 165  1312734.625    24.915 1  91
  74 166  1323833.000     9.462 1  92
  74 167  1332114.375    18.203 1  93
  74 168  1342980.750    13.272 1  94
  74 169  1351076.750    15.379 1  95
  74 170  1361521.250    13.260 1  96
  74 171  1369387.750    27.873 1  97
  74 172  1379470.125    27.864 1  98
  74 173  1387171.625    28.026 1  99
  74 174  1396742.500    28.014 1 100
  74 175  1404219.625    28.000 1 101
  74 176  1413299.625    27.984 1 102
  74 177  1420431.250    27.966 1 103
  74 178  1429207.750    15.130 1 104
  74 179  1436167.250    14.499 1 105
  74 180  1444579.500     1.440 1 106
  74 181  1451248.625     1.448 1 107
  74 182  1459332.125     0.728 1 108
  74 183  1465522.875     0.732 1 109
  74 184  1472934.250     0.736 1 110
  74 185  1478687.875     0.740 1 111
  74 186  1485879.750     1.302 1 112
  74 187  1491346.750     1.122 1 113
  74 188  1498181.750     3.008 1 114
  74 189  1503202.875    40.068 1 115
  74 190  1510038.875    39.710 1 116
  74 191  1514904.125    41.829 1 117
  75 161  1261646.250   149.891 1  86
  75 163  1282951.000    18.582 1  88
  75 164  1292492.500    54.612 1  89
  75 165  1303751.125    23.595 1  90
  75 166  1313056.250    72.376 1  91
  75 168  1333100.125    30.744 1  93
  75 169  1343785.750    11.323 1  94
  75 170  1352361.000    23.120 1  95
  75 171  1362769.500    27.873 1  96
  75 172  1371127.500    39.044 1  97
  75 173  1381215.750    28.026 1  98
  75 174  1389406.375    28.014 1  99
  75 175  1399092.750    28.000 1 100
  75 176  1406938.750    27.984 1 101
  75 177  1416216.375    27.966 1 102
  75 178  1423672.000    27.946 1 103
  75 179  1432674.125    24.702 1 104
  75 180  1439998.375    21.420 1 105
  75 181  1448749.875    12.489 1 106
  75 182  1455749.750   101.920 1 107
  75 183  1464184.625     8.052 1 108
  75 184  1470666.000     4.232 1 109
  75 185  1478336.625     0.740 1 110
  75 186  1484516.000     0.744 1 111
  75 187  1491876.875     0.748 1 112
  75 188  1497748.500     0.752 1 113
  75 189  1504781.875     8.127 1 114
  75 190  1510510.125    70.870 1 115
  75 191  1517295.750    10.314 1 116
  75 192  1522605.625    70.848 1 117
  75 193  1529319.875    39.179 1 118
  76 164  1284659.750   149.896 1  88
  76 166  1305811.750    17.928 1  90
  76 167  1314953.625    72.645 1  91
  76 168  1326518.125     9.912 1  92
  76 169  1335317.000    25.181 1  93
  76 170  1346591.750     9.690 1  94
  76 171  1355038.875    17.784 1  95
  76 172  1366052.000    12.728 1  96
  76 173  1374317.750    14.878 1  97
  76 174  1384946.250    10.266 1  98
  76 175  1393127.625    11.725 1  99
  76 176  1403191.500    27.984 1 100
  76 177  1411121.125    14.691 1 101
  76 178  1420780.375    13.706 1 102
  76 179  1428326.875    16.468 1 103
  76 180  1437736.500    16.380 1 104
  76 181  1445000.125    25.340 1 105
  76 182  1454130.500    21.658 1 106
  76 183  1461256.750    49.776 1 107
  76 184  1469916.500     0.920 1 108
  76 185  1476541.250     0.740 1 109
  76 186  1484806.625     0.744 1 110
  76 187  1491096.875     0.748 1 111
  76 188  1499086.375     0.752 1 112
  76 189  1505007.375     0.756 1 113
  76 190  1512799.750     0.570 1 114
  76 191  1518558.500     0.573 1 115
  76 192  1526116.750     2.304 1 116
  76 193  1531700.125     2.316 1 117
  76 194  1538812.250     2.328 1 118
  76 195  1543960.125    55.965 1 119
  76 196  1550796.875    39.984 1 120
  77 167  1304741.750    18.370 1  90
  77 168  1314406.875    55.272 1  91
  77 169  1325905.750    23.322 1  92
  77 171  1346366.625    38.475 1  94
  77 172  1355405.250    32.336 1  95
  77 173  1366365.625    11.072 1  96
  77 174  1375032.000    24.360 1  97
  77 175  1385634.250    12.425 1  98
  77 176  1394189.375    16.720 1  99
  77 177  1404429.875    19.824 1 100
  77 178  1412705.750    19.758 1 101
  77 179  1422606.750     9.845 1 102
  77 180  1430573.875    21.780 1 103
  77 181  1440130.625     5.249 1 104
  77 182  1447790.750    20.930 1 105
  77 183  1457013.625    24.339 1 106
  77 184  1464492.500    27.968 1 107
  77 185  1473288.625    27.935 1 108
  77 186  1480196.750    16.554 1 109
  77 187  1488644.875    27.863 1 110
  77 188  1495511.875     9.400 1 111
  77 189  1503687.750    12.663 1 112
  77 190  1510063.250     1.330 1 113
  77 191  1518089.500     1.337 1 114
  77 192  1524287.750     1.344 1 115
  77 193  1532059.625     1.351 1 116
  77 194  1538126.500     1.358 1 117
  77 195  1545358.375     1.365 1 118
  77 196  1551173.000    38.416 1 119
  77 197  1558072.750    20.094 1 120
  77 199  1570350.000    40.994 1 122
  78 168  1305965.625   150.024 1  90
  78 170  1327400.125    18.190 1  92
  78 171  1336641.875    72.675 1  93
  78 172  1348350.500    10.320 1  94
  78 173  1357257.625    56.052 1  95
  78 174  1368704.375    10.266 1  96
  78 175  1377170.875    18.200 1  97
  78 176  1388462.625    12.672 1  98
  78 177  1396970.500    15.045 1  99
  78 178  1407668.875    10.146 1 100
  78 179  1416010.750     8.055 1 101
  78 180  1426250.000    10.980 1 102
  78 181  1434266.750    13.756 1 103
  78 182  1444125.250    13.104 1 104
  78 183  1451800.500    15.555 1 105
  78 184  1461433.625    15.640 1 106
  78 185  1468858.750    25.900 1 107
  78 186  1478106.500    21.762 1 108
  78 187  1484998.375    24.123 1 109
  78 188  1494205.500     5.264 1 110
  78 189  1500925.125    10.017 1 111
  78 190  1509833.750     0.570 1 112
  78 191  1516296.875     4.202 1 113
  78 192  1524958.250     2.496 1 114
  78 193  1531220.750     1.351 1 115
  78 194  1539572.500     0.582 1 116
  78 195  1545677.625     0.585 1 117
  78 196  1553599.625     0.588 1 118
  78 197  1559446.375     0.591 1 119
  78 198  1567001.625     2.178 1 120
  78 199  1572557.625     2.189 1 121
  78 200  1579839.625    20.200 1 122
  78 201  1585052.375    50.049 1 123
  78 202  1592075.125    25.250 1 124
  79 171  1325952.125    20.691 1  92
  79 172  1335779.250    56.072 1  93
  79 173  1347365.000    22.836 1  94
  79 175  1368079.125    38.675 1  96
  79 176  1377267.375    33.264 1  97
  79 177  1388362.875    10.443 1  98
  79 178  1397192.875    10.146 1  99
  79 179  1407949.000    11.635 1 100
  79 180  1416657.250     4.860 1 101
  79 181  1426974.125    19.910 1 102
  79 182  1435475.125    20.202 1 103
  79 183  1445437.250     9.333 1 104
  79 184  1453635.625    22.264 1 105
  79 185  1463246.375     2.590 1 106
  79 186  1471174.500    21.018 1 107
  79 187  1480558.750    22.253 1 108
  79 188  1487973.500     2.632 1 109
  79 189  1497255.500    20.034 1 110
  79 190  1504578.500     3.420 1 111
  79 191  1513614.125     4.966 1 112
  79 192  1520659.625    15.744 1 113
  79 193  1529363.625     8.685 1 114
  79 194  1536242.125     2.134 1 115
  79 195  1544668.500     1.170 1 116
  79 196  1551311.625     2.940 1 117
  79 197  1559383.750     0.591 1 118
  79 198  1565896.250     0.594 1 119
  79 199  1573480.500     0.597 1 120
  79 200  1579698.250    26.800 1 121
  79 201  1586930.125     3.216 1 122
  79 202  1592953.625    23.230 1 123
  79 203  1599815.375     3.045 1 124
  80 172  1326737.625   150.156 1  92
  80 174  1348462.500    19.140 1  94
  80 175  1357865.375    72.975 1  95
  80 176  1369749.000    11.088 1  96
  80 177  1378818.000    75.048 1  97
  80 178  1390422.625    10.858 1  98
  80 179  1399106.250    27.208 1  99
  80 180  1410499.750    12.600 1 100
  80 181  1418981.875    15.385 1 101
  80 182  1429968.875     9.828 1 102
  80 183  1438268.000     7.137 1 103
  80 184  1448883.500    10.120 1 104
  80 185  1456789.500    13.690 1 105
  80 186  1467216.375    11.718 1 106
  80 187  1474866.500    13.838 1 107
  80 188  1485021.750    12.220 1 108
  80 189  1492517.625    31.563 1 109
  80 190  1502333.250    15.960 1 110
  80 191  1509625.750    22.347 1 111
  80 192  1519116.625    15.552 1 112
  80 193  1526238.625    15.440 1 113
  80 194  1535431.875     2.910 1 114
  80 195  1542332.375    23.205 1 115
  80 196  1551216.375     2.940 1 116
  80 197  1558002.125     3.152 1 117
  80 198  1566487.250     0.396 1 118
  80 199  1573150.500     0.597 1 119
  80 200  1581179.000     0.600 1 120
  80 201  1587409.625     0.804 1 121
  80 202  1595163.750     0.606 1 122
  80 203  1601158.875     1.624 1 123
  80 204  1608651.125     0.408 1 124
  80 205  1614320.000     3.690 1 125
  80 206  1621049.375    20.394 1 126
  80 207  1624662.250    29.808 1 127
  80 208  1629511.750    30.784 1 128
  81 176  1356600.125    75.152 1  95
  81 177  1368593.500    21.594 1  96
  81 179  1389664.125    38.843 1  98
  81 180  1398853.625    59.940 1  99
  81 181  1410337.125     9.050 1 100
  81 182  1418937.500    11.830 1 101
  81 183  1430268.125     9.333 1 102
  81 184  1438635.500     9.936 1 103
  81 185  1449581.375    20.720 1 104
  81 186  1457781.500    22.320 1 105
  81 187  1468410.750     8.041 1 106
  81 188  1476374.000    29.892 1 107
  81 189  1486725.000     8.316 1 108
  81 190  1494552.125     7.980 1 109
  81 191  1504534.500     7.258 1 110
  81 192  1512195.125    31.680 1 111
  81 193  1521871.500     6.755 1 112
  81 194  1529402.875    13.968 1 113
  81 195  1538692.000    11.115 1 114
  81 196  1546104.625    12.152 1 115
  81 197  1555021.000    16.351 1 116
  81 198  1562279.375     7.524 1 117
  81 199  1570881.500    27.860 1 118
  81 200  1577940.625     5.800 1 119
  81 201  1586145.500    14.271 1 120
  81 202  1593016.250     1.616 1 121
  81 203  1600868.750     1.218 1 122
  81 204  1607524.625     1.224 1 123
  81 205  1615070.750     1.230 1 124
  81 206  1621574.625     1.236 1 125
  81 207  1628427.000     5.382 1 126
  81 208  1632214.125     1.872 1 127
  81 209  1637180.000     6.061 1 128
  81 210  1640853.500    11.550 1 129
  81 211  1645755.875    41.989 1 130
  81 213  1654036.625    27.051 1 132
  82 178  1368967.750    24.030 1  96
  82 179  1378562.750    75.538 1  97
  82 180  1390626.000    12.420 1  98
  82 181  1399873.375    75.477 1  99
  82 182  1411652.375    12.012 1 100
  82 183  1420473.750    28.182 1 101
  82 184  1432021.375    12.880 1 102
  82 185  1440582.500    16.095 1 103
  82 186  1451794.625    11.346 1 104
  82 187  1460170.750     5.049 1 105
  82 188  1471070.500    10.716 1 106
  82 189  1479170.500    13.986 1 107
  82 190  1489814.500    12.540 1 108
  82 191  1497700.250    37.245 1 109
  82 192  1508096.500    13.248 1 110
  82 193  1515806.375    49.601 1 111
  82 194  1525891.125    17.460 1 112
  82 195  1533462.125    17.940 1 113
  82 196  1543174.000     7.644 1 114
  82 197  1550642.625     4.728 1 115
  82 198  1560035.875     8.712 1 116
  82 199  1567271.375     9.950 1 117
  82 200  1576362.000    11.000 1 118
  82 201  1583453.250    13.668 1 119
  82 202  1592194.250     3.838 1 120
  82 203  1599111.625     6.496 1 121
  82 204  1607506.125     1.224 1 122
  82 205  1614237.875     1.230 1 123
  82 206  1622324.500     1.236 1 124
  82 207  1629062.250     1.242 1 125
  82 208  1636430.250     1.248 1 126
  82 209  1640367.375     1.672 1 127
  82 210  1645552.625     1.470 1 128
  82 211  1649388.500     2.321 1 129
  82 212  1654515.625     1.908 1 130
  82 213  1658241.625     7.029 1 131
  82 214  1663292.375     1.926 1 132
  82 215  1666838.375    52.460 1 133
  83 184  1419124.500    78.200 1 101
  83 186  1439476.500    16.926 1 103
  83 187  1450784.875    10.098 1 104
  83 188  1459667.500    11.280 1 105
  83 189  1470608.875    20.790 1 106
  83 190  1479215.000    22.610 1 107
  83 191  1489926.250     7.449 1 108
  83 192  1498292.750    30.144 1 109
  83 193  1508714.000     7.527 1 110
  83 194  1516929.625     6.208 1 111
  83 195  1526997.625     5.265 1 112
  83 196  1535052.375    24.500 1 113
  83 197  1544801.875     8.274 1 114
  83 198  1552555.375    27.918 1 115
  83 199  1562054.875    10.547 1 116
  83 200  1569699.375    22.400 1 117
  83 201  1578816.375    15.276 1 118
  83 202  1586212.875    15.352 1 119
  83 203  1595067.500    12.789 1 120
  83 204  1602259.875     9.180 1 121
  83 205  1610749.750     5.125 1 122
  83 206  1617784.750     7.622 1 123
  83 207  1625882.500     2.484 1 124
  83 208  1632769.375     2.288 1 125
  83 209  1640229.250     1.463 1 126
  83 210  1644833.875     1.260 1 127
  83 211  1649972.250     5.486 1 128
  83 212  1654302.375     1.908 1 129
  83 213  1659487.500     5.112 1 130
  83 214  1663528.000    11.128 1 131
  83 215  1668769.125     5.590 1 132
  83 216  1672595.750    11.232 1 133
  83 217  1677811.000    17.794 1 134
  83 218  1681396.375    27.032 1 135
  84 186  1431446.875    18.228 1 102
  84 187  1440790.750    31.977 1 103
  84 188  1452234.750    19.928 1 104
  84 189  1461183.750    22.113 1 105
  84 190  1472397.000    13.490 1 106
  84 191  1480973.125     7.067 1 107
  84 192  1492046.500    11.136 1 108
  84 193  1500372.375    14.475 1 109
  84 194  1511123.000    12.998 1 110
  84 195  1519246.000    37.440 1 111
  84 196  1529734.125    13.524 1 112
  84 197  1537690.375    49.644 1 113
  84 198  1547877.125    17.424 1 114
  84 199  1555683.500    18.109 1 115
  84 200  1565488.000     7.600 1 116
  84 201  1573138.750     5.025 1 117
  84 202  1582630.625     8.686 1 118
  84 203  1590071.125     8.729 1 119
  84 204  1599172.875    11.016 1 120
  84 205  1606424.250    10.045 1 121
  84 206  1615163.000     3.914 1 122
  84 207  1622191.250     6.624 1 123
  84 208  1630586.500     1.664 1 124
  84 209  1637554.250     1.881 1 125
  84 210  1645212.750     1.050 1 126
  84 211  1649763.500     1.266 1 127
  84 212  1655771.500     1.060 1 128
  84 213  1660127.125     2.982 1 129
  84 214  1666014.875     1.498 1 130
  84 215  1670157.750     2.150 1 131
  84 216  1675904.875     1.728 1 132
  84 217  1679875.125     6.510 1 133
  84 218  1685473.125     1.962 1 134
  84 219  1689219.875    15.768 1 135
  84 220  1694709.250    17.600 1 136
  84 221  1698270.250    19.669 1 137
  84 222  1703629.125    39.960 1 138
  85 191  1471258.250    16.044 1 106
  85 192  1480267.625    27.840 1 107
  85 193  1491332.000    21.616 1 108
  85 194  1500056.250    25.026 1 109
  85 195  1510877.750     9.555 1 110
  85 196  1519393.375    30.380 1 111
  85 197  1529905.375     8.077 1 112
  85 198  1538335.875     5.940 1 113
  85 199  1548516.125     5.373 1 114
  85 200  1556751.750    24.400 1 115
  85 201  1566624.750     8.241 1 116
  85 202  1574497.250    27.876 1 117
  85 203  1584140.500    10.556 1 118
  85 204  1591924.500    22.236 1 119
  85 205  1601092.500    15.170 1 120
  85 206  1608621.625    15.038 1 121
  85 207  1617490.500    12.420 1 122
  85 208  1624804.500     8.944 1 123
  85 209  1633288.375     5.016 1 124
  85 210  1640449.250     7.770 1 125
  85 211  1648195.750     2.743 1 126
  85 212  1653248.000     2.332 1 127
  85 213  1659270.625     4.899 1 128
  85 214  1664142.375     4.280 1 129
  85 215  1670089.500     6.880 1 130
  85 216  1674648.375     3.672 1 131
  85 217  1680581.750     4.991 1 132
  85 218  1684949.500    11.554 1 133
  85 219  1690722.875     3.285 1 134
  85 220  1694814.750    14.080 1 135
  85 221  1700479.000    13.923 1 136
  85 222  1704380.000    15.762 1 137
  85 223  1709976.250    14.049 1 138
  85 224  1713764.625    22.400 1 139
  86 193  1481439.500    25.090 1 107
  86 194  1492830.250    16.878 1 108
  86 195  1501574.625    50.505 1 109
  86 196  1512725.375    14.504 1 110
  86 197  1521257.250    16.154 1 111
  86 198  1532069.375    13.464 1 112
  86 199  1540409.875    37.611 1 113
  86 200  1550986.375    13.600 1 114
  86 201  1559125.250    49.647 1 115
  86 202  1569398.750    17.574 1 116
  86 203  1577349.125    18.270 1 117
  86 204  1587237.125     7.344 1 118
  86 205  1595048.000     5.125 1 119
  86 206  1604542.500     8.652 1 120
  86 207  1612115.625     8.487 1 121
  86 208  1621207.750    11.232 1 122
  86 209  1628564.500    10.032 1 123
  86 210  1637299.625     4.620 1 124
  86 211  1644521.500     6.752 1 125
  86 212  1652497.000     3.180 1 126
  86 213  1657604.750     3.408 1 127
  86 214  1664299.875     9.202 1 128
  86 215  1669220.000     7.740 1 129
  86 216  1675870.000     6.048 1 130
  86 217  1680535.375     4.123 1 131
  86 218  1687047.875     2.398 1 132
  86 219  1691507.125     2.190 1 133
  86 220  1697795.875     1.760 1 134
  86 221  1702007.875     5.746 1 135
  86 222  1708178.375     1.998 1 136
  86 223  1712232.125     7.805 1 137
  86 224  1718248.250     9.856 1 138
  86 225  1722230.250    11.250 1 139
  86 226  1728088.750    10.396 1 140
  86 227  1732021.250    14.074 1 141
  86 228  1737735.125    17.784 1 142
  86 229  1741687.500    13.053 1 143
  87 197  1511731.375    54.372 1 110
  87 198  1520482.625    32.274 1 111
  87 199  1531356.500    13.731 1 112
  87 200  1540066.750    30.600 1 113
  87 201  1550682.000     9.045 1 114
  87 202  1559245.750     7.070 1 115
  87 203  1569536.750     6.293 1 116
  87 204  1577877.125    24.480 1 117
  87 205  1587865.625     7.790 1 118
  87 206  1595869.625    28.222 1 119
  87 207  1605543.000    17.595 1 120
  87 208  1613435.750    11.856 1 121
  87 209  1622610.750    14.630 1 122
  87 210  1630245.750    15.120 1 123
  87 211  1639123.875    12.027 1 124
  87 212  1646571.125     8.692 1 125
  87 213  1654679.125     5.112 1 126
  87 214  1660156.375     8.560 1 127
  87 215  1666950.875     7.095 1 128
  87 216  1672369.500     4.104 1 129
  87 217  1679097.125     6.510 1 130
  87 218  1684423.875     4.796 1 131
  87 219  1690936.375     7.008 1 132
  87 220  1696143.250     3.960 1 133
  87 221  1702419.500     4.862 1 134
  87 222  1707390.125     7.548 1 135
  87 223  1713457.125     2.007 1 136
  87 224  1718162.250    11.200 1 137
  87 225  1724161.500    11.925 1 138
  87 226  1728533.000     6.328 1 139
  87 227  1734442.250     5.902 1 140
  87 228  1738812.000     6.840 1 141
  87 229  1744599.125     5.038 1 142
  87 230  1748852.000     6.440 1 143
  87 231  1754329.500     7.623 1 144
  87 232  1758408.500    13.920 1 145
  87 233  1763632.625    19.572 1 146
  88 201  1541551.500    20.301 1 113
  88 202  1552484.750    14.948 1 114
  88 203  1560969.125    38.164 1 115
  88 204  1571645.375    15.300 1 116
  88 205  1579934.625    70.520 1 117
  88 206  1590279.125    17.922 1 118
  88 207  1598371.625    53.199 1 119
  88 208  1608259.500     8.944 1 120
  88 209  1616200.625     5.643 1 121
  88 210  1625687.375     9.240 1 122
  88 211  1633369.375     8.018 1 123
  88 212  1642471.625    11.236 1 124
  88 213  1649998.625     9.798 1 125
  88 214  1658322.625     5.350 1 126
  88 215  1663952.875     7.525 1 127
  88 216  1671267.000     8.640 1 128
  88 217  1676739.750     7.161 1 129
  88 218  1684049.625    11.118 1 130
  88 219  1689377.625     8.322 1 131
  88 220  1696573.125     8.140 1 132
  88 221  1701950.750     4.641 1 133
  88 222  1708665.625     4.440 1 134
  88 223  1713823.875     2.007 1 135
  88 224  1720302.500     1.792 1 136
