#M. Wang et al., Chinese Physics C41, 030003, 2017
#  iz  ia   BE (keV)  error (keV)  in
  18  41   349909.250     0.328 1  23
  18  42   359335.750     5.796 1  24
  18  43   364994.219     5.289 1  25
  18  44   373728.938     1.584 1  26
  18  45   378897.844     0.495 1  27
  18  46   386971.281     1.104 1  28
  18  47   390636.000     1.128 1  29
  18  48   395622.312   307.392 1  30
  19  35   278804.406     0.525 1  16
  19  36   293119.906     0.324 1  17
  19  37   308574.312     0.111 1  18
  19  38   320646.188     0.190 1  19
  19  39   333724.000     0.000 1  20
  19  40   341523.594     0.040 1  21
  19  41   351618.969     0.000 1  22
  19  42   359152.750     0.126 1  23
  19  43   368777.438     0.430 1  24
  19  44   376054.844     0.440 1  25
  19  45   384960.312     0.540 1  26
  19  46   391829.938     0.736 1  27
  19  47   400199.312     1.410 1  28
  19  48   404843.156     0.768 1  29
  19  49   410241.438     0.784 1  30
  19  50   414429.094     7.750 1  31
  19  51   419288.781    13.056 1  32
  19  52   421981.500    33.540 1  33
  19  53   425210.938   111.777 1  34
  20  36   281371.625    39.996 1  16
  20  37   296127.875     0.629 1  17
  20  38   313121.625     0.190 1  18
  20  39   326417.125     0.585 1  19
  20  40   342052.125     0.040 1  20
  20  41   350414.938     0.123 1  21
  20  42   361895.656     0.168 1  22
  20  43   369828.500     0.215 1  23
  20  44   380959.688     0.308 1  24
  20  45   388374.531     0.360 1  25
  20  46   398773.000     2.254 1  26
  20  47   406049.375     2.209 1  27
  20  48   416000.906     0.096 1  28
  20  49   421147.344     0.196 1  29
  20  50   427508.156     1.600 1  30
  20  51   432322.562     0.510 1  31
  20  52   438327.812     0.676 1  32
  20  53   441520.594    43.778 1  33
  20  54   445364.781    48.438 1  34
  21  39   312524.781    23.985 1  18
  21  40   326946.750     2.840 1  19
  21  41   343137.125     0.082 1  20
  21  42   354687.156     0.168 1  21
  21  43   366825.469     1.849 1  22
  21  44   376524.688     1.760 1  23
  21  45   387851.875     0.675 1  24
  21  46   396612.531     0.690 1  25
  21  47   407259.219     1.927 1  26
  21  48   415497.812     4.944 1  27
  21  49   425626.531     2.695 1  28
  21  50   431683.938    15.000 1  29
  21  51   438436.594    19.992 1  30
  21  52   443722.500    81.848 1  31
  21  53   450257.312    94.075 1  32
  21  54   453312.750   272.808 1  33
  21  55   457652.531   454.355 1  34
  21  56   460416.750   586.824 1  35
  21  57   464631.688  1304.103 1  36
  22  40   314491.438   160.000 1  18
  22  41   329409.906    27.962 1  19
  22  42   346888.375     0.294 1  20
  22  43   359176.062     7.224 1  21
  22  44   375474.875     0.704 1  22
  22  45   385007.469     0.855 1  23
  22  46   398196.750     0.184 1  24
  22  47   407077.656     0.094 1  25
  22  48   418704.281     0.096 1  26
  22  49   426846.719     0.098 1  27
  22  50   437785.875     0.100 1  28
  22  51   444158.406     0.510 1  29
  22  52   451966.688     7.072 1  30
  22  53   457399.219   100.064 1  31
  22  54   464261.469    82.458 1  32
  22  55   468378.938   161.590 1  33
  22  56   474102.188   121.240 1  34
  22  57   476769.094   256.443 1  35
  23  43   346989.031    42.828 1  20
  23  44   361260.375   181.632 1  21
  23  45   377101.312     0.855 1  22
  23  46   390361.969     0.184 1  23
  23  47   403364.562     0.188 1  24
  23  48   413906.906     0.960 1  25
  23  49   425462.500     0.833 1  26
  23  50   434795.906     0.400 1  27
  23  51   445847.031     0.408 1  28
  23  52   453158.250     0.416 1  29
  23  53   461636.875     3.127 1  30
  23  54   467750.312    15.012 1  31
  23  55   475073.094    95.095 1  32
  23  56   480154.719   176.904 1  33
  23  57   486484.594    80.484 1  34
  23  58   490544.188    89.378 1  35
  23  59   496045.719   161.896 1  36
  23  60   499527.000   220.140 1  37
  23  61   504862.812   894.260 1  38
  24  45   363947.750    35.415 1  21
  24  46   381975.875    11.454 1  22
  24  47   395138.188     6.016 1  23
  24  48   411468.875     7.344 1  24
  24  49   422051.250     2.254 1  25
  24  50   435051.625     0.450 1  26
  24  51   444312.250     0.408 1  27
  24  52   456351.438     0.364 1  28
  24  53   464290.500     0.371 1  29
  24  54   474009.562     0.378 1  30
  24  55   480255.812     0.385 1  31
  24  56   488502.438     0.616 1  32
  24  57   493813.438     1.083 1  33
  24  58   501351.875     1.508 1  34
  24  59   505517.125   216.353 1  35
  24  60   512172.312   193.620 1  36
  24  61   516049.281   101.321 1  37
  24  62   522540.312   148.118 1  38
  24  63   525724.188   358.092 1  39
  24  64   531267.688   439.680 1  40
  25  47   382359.625    31.678 1  22
  25  48   397160.875     6.960 1  23
  25  49   413556.500     2.254 1  24
  25  50   426634.812     0.450 1  25
  25  51   440322.406     0.510 1  26
  25  52   450857.125     1.820 1  27
  25  53   462911.250     0.477 1  28
  25  54   471850.094     1.080 1  29
  25  55   482076.250     0.330 1  30
  25  56   489346.656     0.336 1  31
  25  57   497992.625     1.482 1  32
  25  58   504405.281     2.726 1  33
  25  59   512174.344     2.301 1  34
  25  60   517688.250     2.340 1  35
  25  61   524533.812     2.318 1  36
  25  62   529386.938     6.572 1  37
  25  63   535821.312     3.717 1  38
  25  64   539994.688     3.520 1  39
  25  65   546044.250     3.705 1  40
  25  66   549898.688    11.154 1  41
  26  49   399904.250    24.206 1  23
  26  50   417701.312     8.400 1  24
  26  51   431498.688     8.976 1  25
  26  52   447697.875     5.096 1  26
  26  53   458386.344     1.643 1  27
  26  54   471764.625     0.378 1  28
  26  55   481062.719     0.330 1  29
  26  56   492259.812     0.280 1  30
  26  57   499905.906     0.285 1  31
  26  58   509950.500     0.348 1  32
  26  59   516531.531     0.354 1  33
  26  60   525351.062     3.420 1  34
  26  61   530929.812     2.623 1  35
  26  62   538958.688     2.790 1  36
  26  63   543787.562     4.284 1  37
  26  64   551192.812     4.992 1  38
  26  65   555512.500     5.135 1  39
  26  66   562433.750     4.092 1  40
  26  67   566047.375   270.278 1  41
  26  68   571995.500   365.228 1  42
  27  51   417855.938    48.450 1  24
  27  52   432946.062     8.372 1  25
  27  53   449315.875     1.696 1  26
  27  54   462737.719     0.378 1  27
  27  55   476829.000     0.440 1  28
  27  56   486910.812     0.504 1  29
  27  57   498287.250     0.513 1  30
  27  58   506860.188     1.160 1  31
  27  59   517314.062     0.413 1  32
  27  60   524805.938     0.420 1  33
  27  61   534125.062     0.854 1  34
  27  62   540722.562    18.600 1  35
  27  63   549221.062    18.585 1  36
  27  64   555233.250    20.032 1  37
  27  65   562697.438     2.080 1  38
  27  66   567992.125    13.992 1  39
  27  67   574976.688     6.432 1  40
  27  68   579656.875   189.516 1  41
  27  69   586076.688   140.484 1  42
  27  71   596310.125   465.050 1  44
  28  53   435504.938    25.175 1  25
  28  54   453223.750     4.644 1  26
  28  55   467352.625     0.715 1  27
  28  56   483995.625     0.448 1  28
  28  57   494243.156     0.570 1  29
  28  58   506459.406     0.348 1  30
  28  59   515458.688     0.354 1  31
  28  60   526846.438     0.360 1  32
  28  61   534666.562     0.366 1  33
  28  62   545262.250     0.434 1  34
  28  63   552100.062     0.441 1  35
  28  64   561757.500     0.448 1  36
  28  65   567855.625     0.520 1  37
  28  66   576807.500     1.386 1  38
  28  67   582615.250     2.881 1  39
  28  68   590407.688     2.992 1  40
  28  69   594993.812     3.726 1  41
  28  70   602300.375     2.170 1  42
  28  71   606564.125     2.272 1  43
  28  72   613455.188     2.232 1  44
  28  73   617408.625     2.409 1  45
  29  55   452869.781   155.540 1  26
  29  56   467948.688    14.896 1  27
  29  57   484685.906     0.513 1  28
  29  58   497116.062     0.580 1  29
  29  59   509878.000     0.531 1  30
  29  60   519936.094     1.620 1  31
  29  61   531646.312     0.976 1  32
  29  62   540521.000     0.620 1  33
  29  63   551384.688     0.441 1  34
  29  64   559300.812     0.448 1  35
