   1    2    3    2.4893
  37   50   87   -0.1610
  37   51   88    0.4631
  37   52   89    1.3326
  37   53   90    1.2808
  37   54   91    1.1094
  37   55   92    1.1781
  37   56   93    1.1264
  37   57   94    0.9754
  37   58   95    1.1810
  37   59   96    1.1061
  37   60   97    2.9974
  37   61   98    2.9906
  38   41   79    0.0537
  38   42   80    0.0032
  38   43   81   -0.1242
  38   44   82   -0.2683
  38   45   83   -0.2949
  38   46   84   -0.2699
  38   47   85   -0.4866
  38   48   86   -0.2812
  38   49   87   -0.1782
  38   50   88   -0.2179
  38   51   89    0.5164
  38   52   90    1.2200
  38   53   91    1.1030
  38   54   92    1.0453
  38   55   93    0.9612
  38   56   94    0.9043
  38   57   95    0.9507
  38   58   96    1.1368
  38   59   97    1.1057
  38   60   98    2.9974
  38   61   99    3.0682
  38   62  100    0.9401
  39   49   88   -0.2353
  39   50   89   -0.2230
  39   51   90    0.4349
  39   53   92    1.0477
  39   55   94    0.8628
  39   56   95    0.7906
  39   57   96    0.8912
  39   58   97    1.0220
  39   59   98    1.0736
  39   60   99    3.8068
  39   61  100    3.5292
  39   62  101    0.7394
  39   63  102    0.7463
  40   49   89   -0.2740
  40   50   90   -0.3081
  40   51   91    0.4626
  40   52   92    1.2154
  40   54   94    0.8934
  40   56   96    0.6603
  40   58   98    1.7454
  40   59   99    1.2812
  40   60  100    3.1381
  40   61  101    3.4639
  40   62  102    1.4619
  41   51   92    0.4529
  41   52   93    1.2216
  41   60  101    2.8627
  41   62  103    0.8611
  42   50   92   -0.3846
  42   52   94    1.2886
  42   54   96    1.1005
  42   55   97    0.8765
  42   56   98    0.8558
  42   58  100    1.3407
  42   60  102    1.6115
  42   62  104    1.2290
  42   63  105    0.9018
  42   64  106    0.8955
  42   66  108    0.4204
  44   54   98    1.1284
  44   56  100    1.0764
  44   57  101    0.9604
  44   58  102    1.0040
  44   60  104    1.0573
  46   58  104    0.9182
  46   60  106    0.8885
  46   62  108    0.9176
  46   64  110    0.8295
  47   56  103    0.8635
  47   58  105    0.8589
  47   60  107    0.6895
  47   62  109    0.6929
  48   56  104    1.1417
  48   57  105    0.9754
  48   58  106    0.9674
  48   59  107    0.9313
  48   60  108    0.7272
  48   61  109    0.5082
  48   62  110    0.7121
  48   63  111    0.9280
  48   64  112    0.6848
  48   65  113    0.6419
  48   66  114    0.5523
  48   67  115    0.3955
  48   68  116    0.4519
  48   69  117    0.0859
  48   70  118    0.1688
  48   72  120    0.2134
  49   57  106    0.7083
  49   58  107    0.6827
  49   59  108    0.7346
  49   60  109    0.7199
  49   61  110    0.6475
  49   62  111    0.6511
  49   63  112    0.6309
  49   64  113    0.5920
  49   65  114    0.5750
  49   66  115    0.5664
  49   67  116    0.6037
  49   68  117    0.5323
  49   69  118    0.4872
  49   70  119    0.4539
  49   71  120    0.4278
  49   72  121    0.3899
  49   73  122    0.3633
  49   74  123    0.3567
  49   75  124    0.3660
  49   76  125    0.3068
  49   77  126    0.3119
  49   78  127    0.2561
  50   60  110    0.6821
  50   61  111    0.5976
  50   62  112    0.6238
  50   63  113    0.6879
  50   64  114    0.5833
  50   65  115    0.5159
  50   66  116    0.5886
  50   67  117    0.6027
  50   68  118    0.5625
  50   69  119    0.5370
  50   70  120    0.4998
  50   71  121    0.5097
  50   72  122    0.4599
  50   73  123    0.3974
  50   74  124    0.4071
  50   75  125    0.4044
  50   76  126    0.3980
  50   77  127    0.4156
  50   78  128    0.3600
  50   79  129    0.2749
  50   80  130    0.4038
  50   81  131    0.5953
  50   82  132    0.3070
  51   72  123    0.3106
  52   66  118    0.4341
  52   68  120    0.3291
  52   70  122    0.2304
  52   72  124    0.3582
  52   73  125    0.3552
  52   74  126    0.3402
  52   76  128    0.3303
  52   78  130    0.3201
  52   80  132    0.3222
  52   82  134    0.2907
  52   84  136    1.0449
  54   64  118    0.7069
  54   66  120    0.4943
  54   68  122    0.3307
  54   70  124    0.2919
  54   72  126    0.2525
  54   74  128    0.2167
  54   75  129    0.1170
  54   76  130    0.1845
  54   77  131    0.1387
  54   78  132    0.1729
  54   79  133    0.0972
  54   80  134    0.1697
  54   82  136    0.2775
  54   84  138    1.3566
  54   85  139    1.3636
  54   86  140    1.2498
