   1    2    3    0.8808
  55   86  141    0.0267
  55   87  142    0.0271
  55   88  143    0.0276
  55   89  144    0.0230
  55   90  145    0.0223
  55   91  146    0.0226
  56   66  122    0.0061
  56   67  123   -0.0041
  56   68  124    0.0032
  56   69  125    0.0042
  56   70  126    0.0036
  56   71  127    0.0027
  56   72  128    0.0034
  56   73  129    0.0044
  56   74  130    0.0028
  56   75  131    0.0028
  56   76  132    0.0020
  56   77  133    0.0010
  56   78  134    0.0019
  56   79  135    0.0008
  56   80  136    0.0012
  56   81  137    0.0020
  56   82  138    0.0044
  56   83  139    0.0199
  56   84  140    0.0306
  56   85  141    0.0294
  56   86  142    0.0269
  56   87  143    0.0280
  56   88  144    0.0283
  56   89  145    0.0258
  56   90  146    0.0243
  56   92  148    0.0252
  57   80  137    0.0008
  57   82  139    0.0054
  58   80  138   -0.0002
  58   82  140    0.0034
  58   84  142    0.0292
  58   86  144    0.0240
  58   88  146    0.0287
  58   90  148    0.0303
  60   74  134   -0.0046
  60   76  136   -0.0017
  60   77  137   -0.0006
  60   78  138    0.0012
  60   79  139   -0.0004
  60   80  140   -0.0022
  60   81  141   -0.0019
  60   82  142    0.0022
  60   83  143    0.0197
  60   84  144    0.0298
  60   85  145    0.0281
  60   86  146    0.0275
  60   88  148    0.0303
  60   90  150    0.0401
  62   78  140   -0.0034
  62   79  141   -0.0039
  62   80  142   -0.0047
  62   81  143   -0.0038
  62   82  144    0.0006
  62   83  145    0.0172
  62   84  146    0.0284
  62   85  147    0.0241
  62   86  148    0.0234
  62   87  149    0.0242
  62   88  150    0.0345
  62   89  151    0.0416
  62   90  152    0.0432
  62   91  153    0.0375
  62   92  154    0.0234
  63   76  139   -0.0002
  63   77  140   -0.0084
  63   78  141   -0.0063
  63   79  142   -0.0088
  63   80  143   -0.0061
  63   81  144    0.0005
  63   82  145    0.0027
  63   83  146    0.0177
  63   84  147    0.0275
  63   85  148    0.0256
  63   86  149    0.0264
  63   87  150    0.0251
  63   88  151    0.0320
  63   89  152    0.0768
  63   90  153    0.0593
  63   91  154    0.0175
  63   92  155    0.0106
  63   93  156    0.0025
  63   94  157    0.0130
  63   95  158    0.0149
  63   96  159    0.0147
  64   84  148    0.0279
  64   86  150    0.0262
  64   88  152    0.0432
  64   90  154    0.0449
  64   92  156    0.0197
  64   93  157    0.0130
  64   94  158    0.0149
  64   96  160    0.0165
  65   84  149    0.0226
  65   85  150    0.0208
  65   86  151    0.0203
  65   87  152    0.0190
  65   88  153    0.0320
  65   89  154    0.0644
  65   90  155    0.0441
  65   92  157    0.0098
  65   94  159    0.0111
  66   82  148    0.0017
  66   84  150    0.0251
  66   85  151    0.0234
  66   86  152    0.0244
  66   87  153    0.0234
  66   88  154    0.0291
  66   89  155    0.0422
  66   90  156    0.0381
  66   91  157    0.0252
  66   92  158    0.0193
  66   93  159    0.0116
  66   94  160    0.0136
  66   95  161    0.0137
  66   96  162    0.0123
  66   97  163    0.0137
  66   98  164    0.0144
  67   86  153    0.0362
  67   87  154    0.0242
  67   88  155    0.0316
  67   89  156    0.0300
  67   90  157    0.0459
  67   91  158    0.0415
  67   92  159    0.0140
  67   93  160    0.0091
  67   94  161    0.0110
  67   95  162    0.0155
  67   96  163    0.0122
  67   98  165    0.0115
  68   84  152    0.0295
  68   86  154    0.0286
  68   88  156    0.0300
  68   90  158    0.0332
  68   92  160    0.0284
  68   94  162    0.0201
  68   96  164    0.0143
  68   98  166    0.0127
  68  100  168    0.0128
  68  102  170    0.0145
  69   87  156    0.0221
  69   89  158    0.0259
  69   90  159    0.0252
  69   91  160    0.0269
  69   92  161    0.0224
  69   93  162    0.0209
  69   94  163    0.0233
  69   95  164    0.0193
  69   96  165    0.0155
  69   97  166    0.0140
  69   98  167    0.0125
  69   99  168    0.0124
  69  100  169    0.0127
  69  101  170    0.0133
  69  102  171    0.0132
  69  103  172    0.0108
  70   84  154    0.0452
  70   86  156    0.0344
  70   87  157    0.0284
  70   88  158    0.0279
  70   89  159    0.0305
  70   90  160    0.0283
  70   91  161    0.0260
  70   92  162    0.0273
  70   93  163    0.0268
  70   94  164    0.0253
  70   95  165    0.0242
  70   96  166    0.0218
  70   97  167    0.0222
  70   98  168    0.0177
  70   99  169    0.0150
  70  100  170    0.0151
  70  101  171    0.0135
  70  102  172    0.0142
  70  103  173    0.0140
  70  104  174    0.0113
  70  105  175    0.0089
  70  106  176    0.0107
  71   92  163    0.0274
  71   93  164    0.0279
  71   94  165    0.0263
  71   95  166    0.0295
  71   96  167    0.0278
  71   97  168    0.0255
  71   98  169    0.0182
  71   99  170    0.0137
  71  100  171    0.0146
  71  101  172    0.0122
  71  102  173    0.0141
  71  103  174    0.0148
  71  104  175    0.0123
  71  105  176    0.0105
  71  106  177    0.0115
  71  107  178    0.0118
  71  108  179    0.0102
  72  100  172    0.0167
  72  101  173    0.0099
  72  102  174    0.0136
  72  103  175    0.0051
  72  104  176    0.0085
  72  105  177    0.0118
  72  106  178    0.0085
  72  107  179    0.0099
  72  108  180    0.0099
  72  110  182    0.0046
  74  108  182    0.0068
  74  110  184    0.0099
  74  112  186    0.0085
  75  112  187    0.0102
  76  110  186    0.0086
  76  112  188    0.0084
  76  113  189    0.0083
  76  114  190    0.0069
  76  116  192    0.0064
  77  107  184    0.0100
