  20  31  51   3.5337  0.0051                    51,31,0.392,0.003,3.5337,0.0051
  20  32  52   3.5533  0.0056                    52,32,0.531,0.005,3.5533,0.0056
  21  21  42   3.5702  0.0238                    42,21,0.172,0.031,3.5702,0.0238
  21  22  43   3.5575  0.0147                    43,22,0.082,0.014,3.5575,0.0147
  21  23  44   3.5432  0.0016                    44,23,-0.019,0.011,3.5432,0.0016
  21  24  45   3.5459  0.0025                    45,24,0,0,3.5459,0.0025
  21  25  46   3.5243  0.0089                    46,25,-0.154,0.008,3.5243,0.0089
  22  22  44   3.6115  0.0051                    44,22,0.143,0.037,3.6115,0.0051
  22  23  45   3.5939  0.0032                    45,23,0.013,0.017,3.5939,0.0032
  22  24  46   3.6070  0.0022                    46,24,0.110,0.007,3.6070,0.0022
  22  25  47   3.5962  0.0019                    47,25,0.030,0.004,3.5962,0.0019
  22  26  48   3.5921  0.0017                    48,26,0,0,3.5921,0.0017
  22  27  49   3.5733  0.0021                    49,27,-0.139,0.009,3.5733,0.0021
  22  28  50   3.5704  0.0022                    50,28,-0.160,0.007,3.5704,0.0022
  23  28  51   3.6002  0.0022                    51,28,,,3.6002,0.0022
  24  26  50   3.6588  0.0065                    50,26,0.099,0.037,3.6588,0.0065
  24  28  52   3.6452  0.0042                    52,28,0,0,3.6452,0.0042
  24  29  53   3.6511  0.0075                    53,29,0.043,0.045,3.6511,0.0075
  24  30  54   3.6885  0.0074                    54,30,0.317,0.045,3.6885,0.0074
  25  25  50   3.7120  0.0196                    50,25,0.046,0.003,3.7120,0.0196
  25  26  51   3.7026  0.0212                    51,26,-0.023,0.045,3.7026,0.0212
  25  27  52   3.6706  0.0128                    52,27,-0.259,0.013,3.6706,0.0128
  25  28  53   3.6662  0.0076                    53,28,-0.292,0.004,3.6662,0.0076
  25  29  54   3.6834  0.0049                    54,29,-0.165,0.007,3.6834,0.0049
  25  30  55   3.7057  0.0022                    55,30,0,0,3.7057,0.0022
  25  31  56   3.7146  0.0052                    56,31,0.066,0.010,3.7146,0.0052
  26  28  54   3.6933  0.0019                    54,28,-0.330,0.001,3.6933,0.0019
  26  30  56   3.7377  0.0016                    56,30,0,0,3.7377,0.0016
